1,Quantifiers  
10,Quantifiers  
100,Quantifiers  
11,Quantifiers  
12,Quantifiers  
1分鐘,Temporal Words  
1秒,Temporal Words  
1點鐘,Temporal Words  
2,Quantifiers  
2圈,Quantifiers  
3,Quantifiers  
4,Quantifiers  
5,Quantifiers  
6,Quantifiers  
60,Quantifiers  
7,Quantifiers  
7-11,Nouns  
8,Quantifiers  
8:30,Temporal Words  
9,Quantifiers  
COSTCO,Nouns  
EMAIL,Nouns  
FACEBOOK,Nouns  
FB,Nouns  
IG,Nouns  
Instagram,Nouns  
KFC,Nouns  
OK,Emphasis Words  
OK,Emphasis Words  
OK便利商店,Nouns  
Ok繃,Nouns  
STARBUCK,Nouns  
STARBUCKS,Nouns  
一,Quantifiers  
一些,Scope Words  
一人一半,Quantifiers  
一個半,Quantifiers  
一個星期,Temporal Words  
一個月,Temporal Words  
一個禮拜,Temporal Words  
一個鐘頭,Temporal Words  
一元,Quantifiers  
一刀兩斷,Verbs  
一分鐘,Temporal Words  
一切,Nouns  
一半,Quantifiers  
一口咬定,Verbs  
一同,Adverbs  
一回,Quantifiers  
一塊,Quantifiers
一天,Temporal Words  
一定,Adverbs  
一定沒有問題,Adverbs  
一小時,Temporal Words  
一帶,Nouns  
一年,Temporal Words  
一年以前,Temporal Words  
一年級上學期,Nouns  
一年級下學期,Nouns  
一廂情願,Adjectives  
一律,Adverbs  
一成不變,Adjectives  
一手包辦,Verbs  
一手遮天,Verbs  
一敗塗地,Adjectives  
一日,Temporal Words  
一月,Temporal Words  
一望無際,Adjectives  
一本萬利,Adjectives  
一枝獨秀,Adjectives  
一模一樣,Adjectives  
一樣,Adjectives  
一次,Frequency Words  
一毛錢,Nouns  
一溜煙,Adverbs  
一無所有,Verbs  
一目十行,Adverbs  
一直,Adverbs  
一瞬間,Temporal Words  
一石二鳥,Adjectives  
一秒鐘,Temporal Words  
一窩蜂,Adverbs  
一竅不通,Adjectives  
一筆勾銷,Verbs  
一級棒,Adjectives  
一絲不掛,Adjectives  
一致,Adjectives  
一般,Adjectives  
一行,Nouns  
一見鍾情,Verbs  
一視同仁,Verbs  
一角,Nouns  
一言為定,Verbs  
一言難盡,Adjectives  
一起,Adverbs  
一起收拾,Verbs  
一起玩,Verbs  
一輩子,Temporal Words  
一轉眼,Temporal Words  
一週,Temporal Words
一遍,Quantifiers  
一點,Quantifiers  
一點鐘,Temporal Words  
一點點,Scope Words  
丁,Nouns  
丁等,Nouns  
七,Quantifiers  
七十,Quantifiers  
七月,Temporal Words  
丈夫,Nouns  
三,Quantifiers  
三代,Nouns  
三十,Quantifiers  
三圍,Nouns  
三字經,Nouns  
三振出局,Verbs  
三明治,Nouns  
三星,Nouns  
三月,Temporal Words  
三稜鏡,Nouns  
三級跳遠,Nouns  
三胞胎,Nouns  
三腳架,Nouns  
三色碗,Nouns  
三角形,Nouns  
三輪車,Nouns  
三重,Nouns  
上,Verbs  
上上星期,Temporal Words  
上上禮拜,Temporal Words  
上下對調,Verbs  
上任,Verbs  
上個星期,Temporal Words  
上個月,Temporal Words  
上兩星期,Temporal Words  
上午,Temporal Words  
上台,Verbs  
上吊,Verbs  
上告,Verbs  
上學,Verbs  
上學期,Nouns  
上小學,Verbs  
上山,Verbs  
上弦月,Nouns  
上星期,Temporal Words  
上樓梯,Verbs  
上游,Nouns  
上班,Verbs  
上當,Verbs  
上癮,Verbs
上禮拜,Temporal Words  
上級,Nouns  
上菜,Verbs  
上課,Verbs  
上車,Verbs  
上軌道,Verbs  
上銬,Verbs  
上面,Nouns  
上香,Verbs  
下,Verbs  
下一個,Quantifiers  
下下星期,Temporal Words  
下下禮拜,Temporal Words  
下不為例,Verbs  
下個星期,Temporal Words  
下個月,Temporal Words  
下兩星期,Temporal Words  
下午,Temporal Words  
下台,Verbs  
下墜球,Verbs  
下學期,Nouns  
下山,Verbs  
下巴,Nouns  
下星期,Temporal Words  
下星期一,Temporal Words  
下星期三,Temporal Words  
下星期五,Temporal Words  
下星期六,Temporal Words  
下星期四,Temporal Words  
下星期日,Temporal Words  
下棋,Verbs  
下樓梯,Verbs  
下次,Quantifiers  
下流,Adjectives  
下班,Verbs  
下禮拜,Temporal Words  
下課,Verbs  
下車,Verbs  
下輩子,Temporal Words  
下雨,Verbs  
下面,Nouns  
下顎,Nouns  
下馬威,Nouns  
不,Emphasis Words  
不一定,Adverbs  
不一樣,Adjectives  
不一致,Adjectives  
不久,Temporal Words  
不介意,Verbs  
不倒翁,Nouns
不准,Emphasis Words  
不分勝負,Verbs  
不及格,Adjectives  
不可,Adjectives  
不可以,Emphasis Words  
不可能,Adjectives  
不吃,Verbs  
不合,Verbs  
不合適,Adjectives  
不同,Adjectives  
不喜歡,Verbs  
不在乎,Verbs  
不堪,Adjectives  
不堪造就,Adjectives  
不夠,Adjectives  
不好,Adjectives  
不好吃,Adjectives  
不好意思,Adjectives  
不好看,Adjectives  
不客氣,Adjectives  
不對,Adjectives  
不小心,Adverbs  
不屑,Adjectives  
不幸,Adjectives  
不得了,Adjectives  
不得已,Verbs  
不必,Adverbs  
不恥下問,Verbs  
不惑之年,Nouns  
不懂,Verbs  
不敢,Verbs  
不敢吃,Verbs  
不料,Adverbs  
不是,Verbs  
不是我,Pronouns  
不曉得,Verbs  
不曾,Adverbs  
不會,Verbs  
不服,Verbs  
不期而遇,Verbs  
不治,Verbs  
不注意,Verbs  
不清楚,Adjectives  
不理你,Verbs  
不用,Verbs  
不相上下,Adjectives  
不省人事,Adjectives  
不知不覺,Adverbs  
不知所措,Verbs  
不知道,Verbs  
不稀罕,Adjectives  
不管,Verbs  
不約而同,Verbs  
不給,Verbs  
不翼而飛,Verbs  
不耐煩,Adjectives  
不聽,Verbs  
不肖子,Nouns  
不肯,Verbs  
不能,Verbs  
不舒服,Adjectives  
不行,Verbs  
不要,Emphasis Words  
不要臉,Adjectives  
不見,Verbs  
不見蹤跡,Verbs  
不認識,Verbs  
不認輸,Verbs  
不論,Conjunctions  
不謀而合,Verbs  
不識抬舉,Verbs  
不足掛齒,Adjectives  
不連貫,Adjectives  
不過,Transitional Conjunctions  
不適合,Adjectives  
不錯,Adjectives  
不關你的事,Verbs  
不顧,Verbs  
不齒,Adjectives  
世界,Nouns  
丘陵,Nouns  
丙,Nouns  
丙等,Nouns  
丙級,Nouns  
丟,Verbs  
丟掉,Verbs  
丟臉,Verbs  
丟飛盤,Verbs  
並且,Coordinating Conjunctions  
並立,Verbs  
並肩,Verbs  
