Word,Category
1,Quantifiers
10,Quantifiers
100,Quantifiers
11,Quantifiers
12,Quantifiers
1分鐘,Temporal Words
1秒,Temporal Words
1點鐘,Temporal Words
2,Quantifiers
2圈,Quantifiers
3,Quantifiers
4,Quantifiers
5,Quantifiers
6,Nouns
60,Nouns
7,Nouns
7-11,Nouns
8,Nouns
Instagram,Nouns
KFC,Nouns
OK,Emphasis Words
OK,Emphasis Words
OK便利商店,Nouns
Ok繃,Emphasis Words
STARBUCK,Nouns
STARBUCKS,Nouns
一,Quantifiers
一些,Quantifiers
一人一半,Quantifiers
一個半,Quantifiers
一個星期,Temporal Words
一個月,Temporal Words
一個禮拜,Temporal Words
一個鐘頭,Temporal Words
一元,Quantifiers
一刀兩斷,Emphasis Words
一分鐘,Temporal Words
一切,Nouns
一半,Adverbs
一天,Temporal Words
一定,Frequency Words
一定沒有問題,Emphasis Words
一小時,Temporal Words
一帶,Scope Words
一年,Temporal Words
一年以前,Temporal Words
一年級上學期,Nouns
一年級下學期,Nouns
一廂情願,Adverbs
一律,Adverbs
一成不變,Adverbs
一手包辦,Adverbs
一手遮天,Temporal Words
一敗塗地,Temporal Words
一日,Adjectives
一月,Nouns
一望無際,Adverbs
一本萬利,Adverbs
一枝獨秀,Nouns
一模一樣,Adjectives
一樣,Emphasis Words
一次,Quantifiers
一毛錢,Mood Particles
一無所有,Quantifiers
一目十行,Quantifiers
一直,Frequency Words
一瞬間,Adverbs
一石二鳥,Idioms (not categorized but can be considered Quantifiers in this context)
一秒鐘,Adverbs
一窩蜂,Scope Words
一竅不通,Adverbs
一筆勾銷,Mood Particles
一級棒,Idioms
一絲不掛,Adverbs
一致,Quantifiers
一般,Quantifiers
一行,Idioms
一見鍾情,Idioms
一視同仁,Quantifiers
一角,Mood Particles
一言為定,Quantifiers
一言難盡,Temporal Words
一起,Temporal Words
一遍,Scope Words
一點,Scope Words
一點鐘,Temporal Words
一點點,Adverbs
丁,Pronouns
丁等,Pronouns
七,Nouns
七十,Nouns
七月,Nouns
丈夫,Nouns
三,Nouns
三代,Quantifiers
三十,Nouns
三圍,Nouns
三字經,Quantifiers
三振出局,Nouns
三明治,Nouns
三星,Nouns
三月,Nouns
三稜鏡,Nouns
三級跳遠,Nouns
三胞胎,Nouns
三輪車,Nouns
三重,Nouns
上,Verbs
上上星期,Temporal Words
上上禮拜,Temporal Words
上下對調,Coordinating Conjunctions
上任,Verbs
上個星期,Temporal Words
上個月,Temporal Words
上兩星期,Temporal Words
上午,Temporal Words
上台,Nouns
上吊,Verbs
上告,Verbs
上學,Verbs
上學期,Verbs
上小學,Nouns
上山,Temporal Words
上弦月,Verbs
上星期,Verbs
上樓梯,Nouns
上游,Verbs
上班,Nouns
上當,Verbs
上禮拜,Temporal Words
上級,Nouns
上菜,Verbs
上課,Verbs
上車,Verbs
上軌道,Verbs
上銬,Verbs
上面,Nouns
上香,Verbs
下,Nouns
下一個,Temporal Words
下下星期,Temporal Words
下下禮拜,Temporal Words
下不為例,Mood Particles
下個星期,Temporal Words
下個月,Temporal Words
下兩星期,Temporal Words
下午,Nouns
下台,Verbs
下墜球,Nouns
下學期,Nouns
下山,Verbs
下巴,Nouns
下星期,Temporal Words
下星期三,Temporal Words
下星期五,Temporal Words
下星期六,Temporal Words
下星期四,Temporal Words
下星期日,Temporal Words
下棋,Verbs
下樓梯,Verbs
下次,Temporal Words
下流,Adjectives
下班,Verbs
下禮拜,Temporal Words
下課,Verbs
下車,Temporal Words
下輩子,Verbs
下雨,Temporal Words
下面,Nouns
下顎,Nouns
下馬威,Nouns
不,Nouns
不一定,Temporal Words
不一樣,Emphasis Words
不一致,Emphasis Words
不久,Emphasis Words
不介意,Temporal Words
不倒翁,Nouns
不准,Pronouns
不分勝負,Adjectives
不及格,Adjectives
不可,Pronouns
不可以,Pronouns
不可能,Mood Particles
不吃,Adjectives
不合,Adjectives
不合適,Adjectives
不同,Adjectives
不喜歡,Mood Particles
不在乎,Adjectives
不堪,Adjectives
不堪造就,Adjectives
不夠,Adjectives
不好,Mood Particles
不好吃,Adjectives
不好意思,Mood Particles
不好看,Verbs
不客氣,Mood Particles
不對,"Unspecified (this phrase could be interpreted as a combination of 'not' and 'lucky', where '不' is a negation and '幸' is an adjective)"
不小心,Mood Particles
不得已,Adverbs
不必,Adverbs
不恥下問,Adverbs
不惑之年,Nouns
不懂,Adjectives
不敢,Adverbs
不敢吃,Adverbs
不料,Question Pronouns
不是,Question Pronouns
不是我,Mood Particles
不曉得,Adverbs
不曾,Adverbs
不會,Adjectives
不服,Adverbs
不期而遇,Adverbs
不治,Adverbs
不注意,Emphasis Words
不清楚,Mood Particles
不理你,Adverbs
不用,Adverbs
不稀罕,Emphasis Words
不管,Causal Conjunctions
不約而同,Emphasis Words
不給,Emphasis Words
不翼而飛,Emphasis Words
不耐煩,Emphasis Words
不聽,Emphasis Words
不肖子,Emphasis Words
不肯,Emphasis Words
不能,Emphasis Words
不舒服,Emphasis Words
不行,Mood Particles
不要,Emphasis Words
不要臉,Emphasis Words
不見,Temporal Words
不見蹤跡,Emphasis Words
不認識,Emphasis Words
不認輸,Emphasis Words
不論,Emphasis Words
不謀而合,Coordinating Conjunctions
不錯,Adverbs
不關你的事,Scope Words
不顧,Adverbs
不齒,Adverbs
世界,Nouns
丘陵,Nouns
丙,Quantifiers
丙等,Nouns
丙級,Nouns
丟,Verbs
丟掉,Verbs
丟臉,Verbs
丟飛盤,Verbs
並且,Coordinating Conjunctions
並立,Coordinating Conjunctions
並肩,Coordinating Conjunctions
並駕齊驅,Nouns
中,Nouns
中元節,Temporal Words
中午,Nouns
中古,Nouns
中庸,Nouns
中意,Adjectives
中文系,Nouns
中暑,Adjectives
中樞神經,Nouns
中正,Nouns
中正大學,Nouns
中毒,Adjectives
中班,Nouns
中秋節,Nouns
中美洲,Nouns
中肯,Adjectives
中華,Nouns
中輟,Adjectives
中間,Nouns
中風,Adjectives
中飽私囊,Nouns
中餐,Nouns
丰采,Nouns
串珠,Nouns
串通,Nouns
串門子,Nouns
丹田,Nouns
丹麥,Nouns
主,Nouns
主任,Nouns
主宰,Verbs
主席,Nouns
主張,Verbs
主旨,Nouns
主機,Nouns
主要,Adjectives
主軸,Nouns
久,Temporal Words
之,Emphasis Words
之前,Nouns
乏味,Mood Particles
乒乓球,Adjectives
乖,Adjectives
乖僻,Adjectives
乖張,Adjectives
乖戾,Nouns
乘客,Verbs
乘機,Nouns
乘法,Adjectives
